haircut_name,face_shape,gender,hair_ratio,vertical_extent,hair_width,coverage_top,texture_estimate
Buzz Cut,S,Male,0.379521316,0.120833333,175,2.484375,13.06289393
Buzz Cut,S,Male,0.490947932,0.122916667,174,2.209635417,13.29012428
Buzz Cut,S,Male,0.534805259,0.122916667,174,2.397135417,13.16521048
Buzz Cut,S,Male,0.538061671,0.116666667,174,2.40234375,13.48166844
Buzz Cut,S,Male,0.565216749,0.125,172,2.294270833,13.06464592
Buzz Cut,S,Male,0.571949982,0.127083333,173,2.2734375,13.16585237
Buzz Cut,S,Male,0.540534917,0.1125,173,2.225260417,13.02039714
Buzz Cut,S,Male,0.541354457,0.110416667,173,2.01953125,13.83456129
Buzz Cut,S,Male,0.526485348,0.10625,175,1.764322917,14.09011078
Buzz Cut,S,Male,0.512753653,0.097916667,175,1.6640625,13.2672867
Buzz Cut,D,Male,0.518263269,0.127083333,185,1.8671875,19.68824622
Buzz Cut,D,Male,0.546643554,0.133333333,184,1.841145833,18.63877119
Buzz Cut,D,Male,0.490697497,0.108333333,183,1.927083333,19.65625
Buzz Cut,D,Male,0.503612959,0.10625,183,1.712239583,19.43289096
Buzz Cut,D,Male,0.505586271,0.108333333,182,2.00390625,19.87806597
Buzz Cut,D,Male,0.559368029,0.1375,182,1.748697917,19.88386562
Buzz Cut,D,Male,0.576415606,0.1375,184,1.83203125,18.96207178
Buzz Cut,D,Male,0.507871629,0.104166667,184,1.68359375,20.84101382
Buzz Cut,D,Male,0.522268251,0.114583333,180,1.268229167,19.39495683
Buzz Cut,D,Male,0.530948804,0.1125,183,1.444010417,20.67567568
Buzz Cut,S,Male,0.765935565,0.133333333,186,1.794270833,9.569817347
Buzz Cut,S,Male,0.810108111,0.133333333,189,1.33203125,9.93995472
Buzz Cut,S,Male,0.747022135,0.1125,190,1.091145833,10.08780394
Buzz Cut,S,Male,0.816225829,0.135416667,190,1.35546875,9.865124316
Buzz Cut,S,Male,0.754263988,0.114583333,190,0.8671875,8.848502472
Buzz Cut,S,Male,0.822585606,0.141666667,189,0.994791667,10.08897302
Buzz Cut,S,Male,0.804879809,0.135416667,189,1.266927083,9.513105032
Buzz Cut,S,Male,0.749206837,0.1125,190,0.90625,9.879529684
Buzz Cut,S,Male,0.754110466,0.120833333,190,0.82421875,10.0351711
Buzz Cut,S,Male,0.75660608,0.116666667,191,0.575520833,9.88353222
Buzz Cut,R,Male,0.516723663,0.133333333,201,3.92578125,11.57744694
Buzz Cut,R,Male,0.493602772,0.147916667,200,4.139322917,14.14522059
Buzz Cut,R,Male,0.49132738,0.154166667,199,4.60546875,15.27852747
Buzz Cut,R,Male,0.489770681,0.15625,197,4.62890625,14.29057337
Buzz Cut,R,Male,0.491397693,0.15625,199,4.533854167,15.0995824
Buzz Cut,R,Male,0.488741107,0.158333333,200,4.58203125,15.43104352
Buzz Cut,R,Male,0.480714764,0.15625,203,4.028645833,12.05935252
Buzz Cut,R,Male,0.472589862,0.154166667,201,3.924479167,13.86428799
Buzz Cut,R,Male,0.484646352,0.164583333,204,4.51171875,12.64727425
Buzz Cut,R,Male,0.485542626,0.1625,206,4.169270833,13.47032429
Buzz Cut,O,Male,0.512750389,0.141666667,223,7.4140625,13.80704592
Buzz Cut,O,Male,0.490128879,0.135416667,224,7.28125,13.36788115
Buzz Cut,O,Male,0.472541073,0.13125,225,6.553385417,13.80205064
Buzz Cut,O,Male,0.475599435,0.13125,224,6.5546875,13.7896071
Buzz Cut,O,Male,0.484579285,0.139583333,225,6.364583333,13.45959251
Buzz Cut,O,Male,0.465728298,0.129166667,225,6.182291667,13.21306663
Buzz Cut,O,Male,0.473768352,0.127083333,225,6.451822917,12.56001656
Buzz Cut,O,Male,0.470159359,0.13125,227,6.578125,12.88151283
Buzz Cut,O,Male,0.464736699,0.129166667,227,6.233072917,13.31366965
Buzz Cut,O,Male,0.478772072,0.1375,227,5.864583333,13.47227802
Buzz Cut,S,Male,0.456521318,0.1,240,12.85416667,7.322040689
Buzz Cut,S,Male,0.534756861,0.127083333,239,12.70963542,7.457791309
Buzz Cut,S,Male,0.523560835,0.102083333,239,12.66796875,7.072043354
Buzz Cut,S,Male,0.515628508,0.1,240,12.70963542,7.513238289
Buzz Cut,S,Male,0.513967593,0.091666667,239,12.88802083,7.699455519
Buzz Cut,S,Male,0.539042742,0.10625,239,12.48307292,6.650357289
Buzz Cut,S,Male,0.531819495,0.10625,237,12.4609375,6.687083702
Buzz Cut,S,Male,0.534851018,0.104166667,238,12.56901042,6.95019893
Buzz Cut,S,Male,0.544425578,0.114583333,239,12.15755208,8.644067797
Buzz Cut,S,Male,0.524545943,0.10625,241,12.17578125,8.425331061
Buzz Cut,S,Male,0.481613296,0.1875,310,26.65234375,6.021457966
Buzz Cut,S,Male,0.812197835,0.627083333,310,27.69791667,5.658531257
Buzz Cut,S,Male,0.792663367,0.63125,308,27.31119792,6.157602211
Buzz Cut,S,Male,0.757318393,0.610416667,312,26.97786458,6.082938389
Buzz Cut,S,Male,0.778989528,0.627083333,311,27.55208333,5.635222763
Buzz Cut,S,Male,0.772836213,0.63125,312,28.68489583,5.894004283
Buzz Cut,S,Male,0.442274613,0.23125,322,31.01171875,5.424205379
Buzz Cut,S,Male,0.421970042,0.197916667,315,30.37239583,5.474558315
Buzz Cut,S,Male,0.424870725,0.204166667,314,29.82291667,5.79706127
Buzz Cut,S,Male,0.412666613,0.2,317,29.5,5.715396579
Buzz Cut,H,Male,0.530157372,0.247916667,276,30.05338542,5.696188299
Buzz Cut,H,Male,0.442924656,0.145833333,271,29.64973958,6.348320635
Buzz Cut,H,Male,0.443989964,0.14375,270,29.12369792,6.531170186
